id	requirement	layer	scenario	pass_criterion
POLICY-001	REQ-DURABILITY	unit	Normative defaults and policy capture	Timeout/retry/retention/checkpoint defaults expand from the specified policy; later changes do not shorten captured promises
API-005	REQ-RUST-BUILDER	integration	Finite wait with recovery path and shared tail	YAML and explicit Rust construction normalize identically; timeout has no success payload and invalid cross-edge use is rejected
ACT-007	REQ-ACTIVITIES	unit	Fixed attempt timeout across renewal and retry	Renewal never extends execution/run deadlines; new attempts receive fixed deadlines and short timeouts retain usable dispatch windows
ACT-008	REQ-ACTIVITIES	integration	Settlement and cleanup after a forward run deadline	No new forward claim starts; authorized settlement and cleanup use their own valid attempt deadlines
EVT-007	REQ-EVENTS	integration	Reserved pre-deadline input survives deferred processing and TTL	Reservation survives restart and cleanup ordering; timeout honors it while unreserved expired input does not qualify
EVT-008	REQ-EVENTS	unit	Cancellation releases a reservation without refreshing input	Original sequence and expiry remain; expired releases expire and consumed messages never re-enter the inbox
SAGA-012	REQ-SAGA	integration	Compensation binding failure after valid forward success	Success and blocked-input obligation commit together; accepted receipt and duplicate results never repeat the forward effect
SAGA-013	REQ-SAGA	integration	Compensation reported-error policy	Default code selection, explicit subset/empty list, terminal errors, and exhaustion obey compensation policy and block rather than skip undo
SAGA-014	REQ-SAGA	integration	Operator resolves blocked compensation input	Validated supplied input preserves evidence and handler identity; other blockers and stop intents remain effective
CLUSTER-006	REQ-CLUSTER	integration	Fresh renewal after expiry before expiry processing	Expired sessions/claims reject renewal at equality and afterward; valid renewal invalidates old lease timers but never the fixed attempt timeout
DOM-001	REQ-DURABILITY	unit	Event application and materialized state	Every accepted lifecycle change is event-derived and replay agrees with the expected state
DOM-002	REQ-DURABILITY	property	Duplicate and rejected commands	No duplicate event ranges, scopes, activations, obligations, or effect identities
DOM-003	REQ-PARALLEL	unit	Nested region completion	Child complete never prematurely completes a container or root run
DOM-004	REQ-DURABILITY	property	Generated bounded nested workflows	Independent expected outcomes and ordering invariants hold for recorded seeds
DSL-001	REQ-YAML	unit	All node variants and schema constructors	Valid YAML normalizes and unknown/malformed fields fail with source context
DSL-002	REQ-YAML	unit	Invalid graph and scope references	Cycles outside loops, missing targets, duplicate keys, and cross-region reads are rejected
DSL-003	REQ-YAML	unit	Bindings and typed conditions	Missing/null/type/tuple/array cases match the language specification without coercion
DSL-004	REQ-YAML	unit	Immutable publication and normalized digests	Equivalent source republishes idempotently and changed semantics conflict under one version
API-001	REQ-RUST-BUILDER	compile	Every primitive through the Rust builder	Examples compile and express nested controls without serialized runtime closures
API-002	REQ-RUST-BUILDER	compile	Incompatible whole-value edges and loop carry	Compile-fail examples reject incompatible Rust types
API-003	REQ-RUST-BUILDER	integration	YAML and Rust normalization parity	Equivalent definitions have equal execution-relevant IR and outputs
API-004	REQ-RUST-BUILDER	unit	Field paths and lexical scope	Unsupported string projections or cross-scope handles return clear build errors
ACT-001	REQ-ACTIVITIES	integration	Async local activity	Owned input/output, errors, cancellation, and stable effect key work through real execution
ACT-002	REQ-ACTIVITIES	integration	Blocking local activity	Bounded pool does not starve consensus and cancellation never falsely proves thread/effect termination
ACT-003	REQ-ACTIVITIES	e2e	Remote worker contract	An independent process executes assignments and forged/stale/schema-invalid results cannot advance state
ACT-004	REQ-ACTIVITIES	integration	Retryable, terminal, and ambiguous failures	Policies and attempt budgets apply without treating storage failures as business retries
ACT-005	REQ-ACTIVITIES	e2e	Reconciliation outcomes	Applied, conclusive NotApplied, and Unknown produce their specified continuations
